TIME;TIME;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
ES611;Almería;7 987,3;8 569,2;9 378,4;10 061,1;10 683,1;11 781,4;12 616,9;13 664,5;13 988,7;12 961,6;12 729,2;11 888;11 753,2;11 584,6;12 116,1;13 048,9;14 185,7;15 159,4;15 282,1;16 003,6;14 764,3;14 860,9;16 425,6;:
ES612;Cádiz;13 496,4;14 467,8;15 418,3;16 381,8;17 926,7;19 222,8;20 703,1;21 802,1;22 028,1;20 705,8;21 046;20 970,7;20 162,5;19 733,9;19 552,7;20 227,8;20 879,6;21 860,4;22 462,6;23 352,6;20 477,4;22 876,9;25 424,1;:
ES613;Córdoba;8 180,8;8 662,2;9 170,9;10 061,7;10 936,1;11 639;12 738,4;13 734,8;13 935,7;13 427,8;13 326,5;13 157,2;12 399;12 542,3;12 604,8;13 354,3;13 567,3;14 113;14 292,4;14 237,2;13 134,5;14 512,1;15 426,2;:
ES614;Granada;8 669,7;9 420,2;10 325,2;11 185,1;11 966,5;12 816,1;14 392,8;15 430,6;15 857,5;15 176,8;15 075,6;15 053,7;14 718,1;14 609;15 079,1;15 864,6;15 888,3;16 314,4;16 798,6;17 538,1;15 967,9;17 357,4;18 900,2;:
ES615;Huelva;5 991,9;6 170,1;6 531,1;7 047,4;7 704,8;8 368,8;8 762,7;9 191,5;9 457,2;8 733,9;8 966,6;9 283,9;9 030,1;8 425,2;8 408,1;8 936,1;9 289;10 037,9;10 616,5;10 650,6;9 353,4;10 640,2;13 566,2;:
ES616;Jaén;6 717,3;7 267,3;7 593;8 724,9;9 105,6;9 372,5;10 096;10 938,3;11 118,3;10 882,1;10 923,8;10 914,8;9 750,5;10 391,7;9 892,2;11 120,1;10 903,6;11 122,2;11 635,3;11 267,3;10 781,4;11 853,9;11 736,3;:
ES617;Málaga;14 950,8;16 756,8;17 938,1;19 628,6;21 782,8;24 490,2;26 235,9;27 664,6;28 518,3;27 701,7;27 697,1;27 250,6;26 063;25 828,4;26 607,9;27 876,4;28 513,6;29 891,6;31 204,4;32 530,1;28 516,6;32 619,8;37 176,9;:
ES618;Sevilla;20 766,6;22 650,7;24 914,4;27 003;28 921;31 564,9;33 827,7;36 583,8;37 343,7;36 212,7;36 089;35 975,6;35 176,2;34 178,9;34 874,4;35 977,8;36 674,9;38 290,7;39 602,4;40 899,3;37 457,4;41 575;44 979,9;:
ES620;Murcia;16 088,7;17 524,5;19 015,7;20 644,9;22 159,2;24 272,4;26 355,8;28 418,1;29 541,1;28 076,3;28 372,2;27 698,3;26 950,8;27 046,9;27 239,1;29 168,7;30 009,1;31 192,5;31 715,3;33 000,7;30 440,3;33 603,6;37 492,7;:
ES630;Ceuta;948,7;985,8;1 040,1;1 109,6;1 170,8;1 237;1 327,1;1 420,5;1 484;1 484,4;1 494,1;1 491,2;1 438,9;1 454,8;1 446,6;1 498,5;1 537,4;1 553,6;1 611,6;1 660;1 535,7;1 634,1;1 764;:
ES640;Melilla;871;906,6;947,8;1 011,6;1 076,5;1 145;1 227,1;1 296,1;1 357,6;1 361,9;1 367,4;1 374,5;1 325,9;1 339,5;1 350,6;1 407,6;1 452,8;1 466,6;1 510,9;1 560,1;1 452;1 534,1;1 654,4;:
ES703;El Hierro;85,7;95,8;107;120,7;127;155;165,2;170,3;189,1;192,8;197,8;184,8;184,7;174,3;186,3;176,8;160,4;178,2;185,5;198,3;175,5;186,3;209,5;:
ES704;Fuerteventura;1 136,2;1 269,8;1 390,7;1 534,4;1 704,6;1 789,7;1 930,1;2 023,3;2 039,1;1 895,9;1 914,8;1 948,7;1 908,3;1 980,9;2 036,1;2 173;2 250,6;2 375,5;2 504,4;2 519,7;1 854,8;2 229,6;2 731,7;:
ES705;Gran Canaria;10 621,4;11 495,7;12 089,6;12 773,1;13 171,3;13 746,8;14 697,2;15 618,2;16 169,8;15 682,4;15 436,9;15 302,6;14 687,9;14 656,6;14 607;14 901,4;15 724,6;16 365,9;16 980;17 387,4;14 638;16 029;18 786,4;:
ES706;La Gomera;209,3;226,6;259,2;279,5;297,4;347,3;372,7;390,7;418,7;415,2;409,8;400;405,8;392,6;393,5;394,3;360,1;385;391,5;399,1;326,6;366,8;419,5;:
ES707;La Palma;848,4;897,7;965,5;1 062,9;1 119,8;1 255,1;1 353,9;1 414,2;1 543,1;1 538,6;1 556,4;1 518,2;1 439,2;1 378,1;1 387;1 416,1;1 388,4;1 481,1;1 525,5;1 588,5;1 407,2;1 473,6;1 665,4;:
ES708;Lanzarote;1 767,9;1 988,6;2 174,7;2 317,5;2 432,1;2 642,2;2 789,2;2 935,3;2 922,6;2 814,5;2 775,2;2 842,6;2 746,9;2 881,6;2 929,6;3 031,8;3 158,3;3 348,3;3 489,9;3 571,6;2 666,7;3 105,5;3 808,7;:
ES709;Tenerife;10 317,2;11 263,2;12 115,1;13 016,7;13 995;15 167,6;16 137,5;17 350;17 873,7;16 966;17 447,3;17 414,8;16 866,8;16 602,9;16 773,4;17 543,2;17 937,3;18 901,8;19 532,5;20 102,2;16 518,6;18 016,5;20 929,9;:
ESZZZ;Extra-Regio NUTS 3;571,3;602,8;609,1;573,7;689,7;775,8;915,1;938,5;994,7;1 025,3;1 095,8;1 461,8;1 139;1 215,5;1 171,1;1 235,1;1 123,7;1 135,8;1 137;1 172,5;1 193,1;1 236,4;1 327,7;:
AT111;Mittelburgenland;571,89;611,18;599,99;636,09;644,43;665,23;703,15;747,03;701,55;729,12;733,96;782,21;800,84;833,02;852,62;887,17;929,91;982,47;980,12;999,53;975;1 049,93;1 135,17;:
AT112;Nordburgenland;2 600,43;2 660,77;2 784,61;2 846,72;3 100,91;3 119,05;3 315;3 508,58;3 522,31;3 572,6;3 766,46;3 933,51;4 164,15;4 279,9;4 425,06;4 720,68;4 845,42;4 980,98;5 164,41;5 322,95;5 158,69;5 558,93;6 149,09;:
AT113;Südburgenland;1 728,02;1 760,79;1 821,27;1 777,24;1 787,35;1 793,09;1 814,5;1 970,77;2 016,11;2 042,45;2 158,05;2 264,58;2 294,4;2 291,92;2 370,01;2 454,35;2 545,42;2 646,92;2 687,74;2 745,05;2 639,1;2 830,45;3 032,69;:
AT121;Mostviertel-Eisenwurzen;4 557,21;4 698,05;4 740,45;4 826,66;5 093,71;5 393,9;5 765,37;6 237,59;6 376,69;6 165,54;6 225,74;6 574,58;6 858,41;7 013,09;7 152,76;7 461;7 853,54;8 365,03;8 504,44;8 855,51;8 407,58;8 874,56;9 603,7;:
AT122;Niederösterreich-Süd;4 827,45;4 945,43;5 049,98;5 191,74;5 390,11;5 620,14;5 929,1;6 290,31;6 431,6;6 222,84;6 468,52;6 753,28;6 958,65;7 063,75;7 420,47;7 565,7;7 710,57;7 997,03;8 370,84;8 645,73;8 319,35;8 600,04;9 288,93;:
AT123;Sankt Pölten;3 782,35;3 864,11;3 921,78;3 971,08;4 082,15;4 270,54;4 461,12;4 828,78;4 996,01;5 127,47;5 241,13;5 530,52;5 674,6;5 774,82;5 890,71;6 240,58;6 498,09;6 698,33;6 786,71;7 071,84;6 979,14;7 282,3;7 846,82;:
AT124;Waldviertel;4 100,81;4 176,42;4 248,13;4 342,87;4 551,44;4 635,24;4 752,7;4 937,58;5 168,59;5 116,23;5 170,32;5 442,86;5 542,82;5 639,74;5 813,09;5 997,4;6 250,41;6 416,98;6 691,28;6 956,3;6 850,7;7 333,84;7 912,67;:
AT125;Weinviertel;1 722,41;1 733,92;1 755,1;1 785,08;1 883,9;1 853,87;1 943,47;2 104,25;2 184,21;2 154,79;2 195,14;2 349,99;2 316,92;2 415,75;2 464,49;2 616,47;2 787,47;2 856,24;2 920,14;3 074,86;3 061,26;3 349,25;3 626,5;:
AT126;Wiener Umland/Nordteil;5 096,58;5 258,86;5 368,47;5 428,03;5 908,79;6 073,76;6 551,5;7 011,54;7 660,99;7 422,69;7 591,38;8 150,24;8 426,3;8 603,7;8 732,01;8 688,18;8 866,76;9 112,29;9 436,28;9 914,49;9 621,59;10 571,04;12 147,5;:
AT127;Wiener Umland/Südteil;9 552,86;9 258,42;9 379,97;9 716,03;10 890,24;11 436,14;11 972,59;12 817,3;13 138,9;12 857,98;13 182,06;13 602,08;14 034,45;13 923,74;14 566,48;15 209,09;16 067,34;16 779,58;17 693,73;18 691,47;16 071,34;17 401,77;19 322,37;:
